timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 18:23:24.889, 1433 MiB, 30674 MiB, 1 %, 1 %, 37, 412 MHz, 3090 MHz, 34.63 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:29.903, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 37.33 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:34.906, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 37.43 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:39.907, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 36.97 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:44.909, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 37.14 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:49.912, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 37.28 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:54.914, 1433 MiB, 30674 MiB, 1 %, 1 %, 39, 547 MHz, 3090 MHz, 37.32 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:23:59.917, 1433 MiB, 30674 MiB, 1 %, 1 %, 39, 547 MHz, 3090 MHz, 36.59 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:04.920, 1433 MiB, 30674 MiB, 1 %, 1 %, 39, 547 MHz, 3090 MHz, 37.41 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:09.922, 1433 MiB, 30674 MiB, 1 %, 1 %, 39, 547 MHz, 3090 MHz, 37.06 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:14.924, 1433 MiB, 30674 MiB, 1 %, 1 %, 40, 547 MHz, 3090 MHz, 37.71 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:19.926, 1433 MiB, 30674 MiB, 1 %, 1 %, 40, 547 MHz, 3090 MHz, 37.46 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:24.928, 11086 MiB, 21021 MiB, 1 %, 0 %, 42, 2685 MHz, 3090 MHz, 89.93 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:29.929, 25050 MiB, 7057 MiB, 99 %, 33 %, 54, 2850 MHz, 3090 MHz, 487.80 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:24:34.932, 27580 MiB, 4527 MiB, 99 %, 32 %, 59, 2850 MHz, 3090 MHz, 504.31 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:39.934, 27580 MiB, 4527 MiB, 99 %, 32 %, 62, 2850 MHz, 3090 MHz, 526.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:24:44.936, 27580 MiB, 4527 MiB, 99 %, 33 %, 61, 2842 MHz, 3090 MHz, 451.27 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:49.938, 27580 MiB, 4527 MiB, 99 %, 33 %, 66, 2835 MHz, 3090 MHz, 527.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:24:54.940, 27580 MiB, 4527 MiB, 99 %, 32 %, 66, 2842 MHz, 3090 MHz, 503.52 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:59.942, 27580 MiB, 4527 MiB, 99 %, 32 %, 68, 2842 MHz, 3090 MHz, 532.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:04.944, 27580 MiB, 4527 MiB, 99 %, 31 %, 66, 2842 MHz, 3090 MHz, 535.00 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:09.946, 27580 MiB, 4527 MiB, 99 %, 32 %, 67, 2842 MHz, 3090 MHz, 536.36 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:25:14.948, 27580 MiB, 4527 MiB, 99 %, 32 %, 68, 2842 MHz, 3090 MHz, 536.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:19.950, 27580 MiB, 4527 MiB, 99 %, 33 %, 71, 2827 MHz, 3090 MHz, 538.85 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:25:24.951, 27580 MiB, 4527 MiB, 99 %, 32 %, 70, 2827 MHz, 3090 MHz, 535.34 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:25:29.953, 27580 MiB, 4527 MiB, 99 %, 32 %, 73, 2827 MHz, 3090 MHz, 540.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:34.955, 27580 MiB, 4527 MiB, 99 %, 33 %, 73, 2827 MHz, 3090 MHz, 540.86 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:25:39.957, 27580 MiB, 4527 MiB, 99 %, 32 %, 72, 2827 MHz, 3090 MHz, 543.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:44.959, 27580 MiB, 4527 MiB, 99 %, 32 %, 75, 2827 MHz, 3090 MHz, 544.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:49.961, 27580 MiB, 4527 MiB, 73 %, 23 %, 74, 2827 MHz, 3090 MHz, 481.31 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:54.962, 27580 MiB, 4527 MiB, 99 %, 31 %, 77, 2827 MHz, 3090 MHz, 545.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:59.964, 27580 MiB, 4527 MiB, 96 %, 30 %, 77, 2827 MHz, 3090 MHz, 483.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:04.966, 27580 MiB, 4527 MiB, 96 %, 31 %, 77, 2827 MHz, 3090 MHz, 547.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:09.968, 27580 MiB, 4527 MiB, 99 %, 31 %, 76, 2827 MHz, 3090 MHz, 548.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:14.970, 27580 MiB, 4527 MiB, 96 %, 30 %, 78, 2827 MHz, 3090 MHz, 548.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:19.972, 27580 MiB, 4527 MiB, 98 %, 29 %, 78, 2827 MHz, 3090 MHz, 547.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:24.974, 27580 MiB, 4527 MiB, 99 %, 31 %, 78, 2827 MHz, 3090 MHz, 549.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:29.976, 27580 MiB, 4527 MiB, 86 %, 26 %, 79, 2827 MHz, 3090 MHz, 549.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:34.978, 27580 MiB, 4527 MiB, 97 %, 28 %, 79, 2827 MHz, 3090 MHz, 549.99 W, P1, 0x0000000000000004, Not Active, Active
