timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/12 00:29:19.893, 1503 MiB, 30604 MiB, 3 %, 0 %, 49, 2505 MHz, 3090 MHz, 81.05 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 00:29:49.903, 1503 MiB, 30604 MiB, 3 %, 0 %, 46, 2512 MHz, 3090 MHz, 79.29 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 00:30:19.913, 27651 MiB, 4456 MiB, 99 %, 32 %, 66, 2842 MHz, 3090 MHz, 513.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:30:49.925, 27651 MiB, 4456 MiB, 99 %, 31 %, 73, 2835 MHz, 3090 MHz, 524.58 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:31:19.937, 27651 MiB, 4456 MiB, 99 %, 32 %, 76, 2827 MHz, 3090 MHz, 530.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:31:49.948, 27651 MiB, 4456 MiB, 89 %, 38 %, 74, 2827 MHz, 3090 MHz, 484.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:32:19.960, 27673 MiB, 4434 MiB, 99 %, 31 %, 79, 2865 MHz, 3090 MHz, 472.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:32:49.972, 27659 MiB, 4448 MiB, 99 %, 31 %, 77, 2820 MHz, 3090 MHz, 537.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:33:19.983, 27692 MiB, 4415 MiB, 88 %, 26 %, 76, 2820 MHz, 3090 MHz, 535.04 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 00:33:49.994, 27692 MiB, 4415 MiB, 96 %, 30 %, 80, 2812 MHz, 3090 MHz, 536.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:34:20.007, 27702 MiB, 4405 MiB, 99 %, 32 %, 80, 2827 MHz, 3090 MHz, 538.58 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:34:50.017, 27640 MiB, 4467 MiB, 91 %, 35 %, 77, 2820 MHz, 3090 MHz, 534.10 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 00:35:20.028, 27670 MiB, 4437 MiB, 99 %, 31 %, 80, 2827 MHz, 3090 MHz, 538.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:35:50.039, 27697 MiB, 4410 MiB, 99 %, 31 %, 78, 2827 MHz, 3090 MHz, 539.16 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:36:20.052, 27671 MiB, 4436 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 539.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:36:50.062, 27654 MiB, 4453 MiB, 99 %, 31 %, 80, 2827 MHz, 3090 MHz, 537.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:37:20.075, 27654 MiB, 4453 MiB, 91 %, 36 %, 77, 2812 MHz, 3090 MHz, 536.94 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:37:50.087, 27664 MiB, 4443 MiB, 99 %, 31 %, 81, 2827 MHz, 3090 MHz, 540.75 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:38:20.099, 27676 MiB, 4431 MiB, 99 %, 32 %, 79, 2827 MHz, 3090 MHz, 534.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:38:50.110, 27659 MiB, 4448 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 537.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:39:20.122, 27659 MiB, 4448 MiB, 99 %, 32 %, 79, 2827 MHz, 3090 MHz, 538.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:39:50.133, 27701 MiB, 4406 MiB, 97 %, 25 %, 79, 2820 MHz, 3090 MHz, 541.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 00:40:20.145, 27672 MiB, 4435 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 538.29 W, P1, 0x0000000000000004, Not Active, Active
